ECC6 ECP Production                                                    Foreign Currency Valuation                                                    Time 08:47:35     Date  02.08.2017
Brisbane                                                                                                                                     FAGL_FC_VALUATION/JGRABKA Page           1
Key Date 31.07.17
Valuation in Company code currency (10)
Method Z001 Rio Tinto Foreign Currency Revaluation
Ledger Group 0L


		Ld	CoCd	AccTy	G/L	Account Nu	DocumentNo	Itm	    Amount in FC	Crcy	  Amount CC.Curr	CC.Curr	Exch. Rat	S	 Exch.rate	Typ	  Old Difference	  New Difference	   Amount Posted
			8800	D	100100	D90000	9600000289	  1	       5,436.00	USD	       4,074.35	EUR	  0.85100		 0.74951	ZX	           0.00	         551.68	         551.68
			8800	D	100100	890000	8637320915	  1	         357.35	CAD	         244.58	EUR	  0.68442		 0.68443	Y1	           0.00	           0.00	           0.00
			8800	D	100100	890000	8637320916	  1	         140.82	CAD	          96.38	EUR	  0.68442		 0.68442	Y1	           0.00	           0.00	           0.00
			8800	D	100100	9241	100011612	  2	   1,002,408.15	USD	     893,547.28	EUR	  0.85100		 0.89140	AB	           0.00	-40,499.30	-40,499.30
			8800	D	100100	9241	100011613	  2	      34,903.35	USD	      31,112.87	EUR	  0.85100		 0.89140	AB	           0.00	-1,410.17	-1,410.17
			8800	D	100100	9241	100011614	  2	   1,772,939.36	USD	   1,580,399.31	EUR	  0.85100		 0.89140	AB	           0.00	-71,630.31	-71,630.31
			8800	D	100100	9241	100011615	  2	   3,329,196.39	USD	   2,967,647.85	EUR	  0.85100		 0.89140	AB	           0.00	-134,506.23	-134,506.23
			8800	D	100100	9241	9600000164	  1	     150,473.00	USD	     114,224.01	EUR	  0.85100		 0.75910	ZX	           0.00	      13,828.31	      13,828.31
			8800	D	100100	9241	9600000167	  1	     233,807.00	USD	     208,555.15	EUR	  0.85100		 0.89200	ZX	           0.00	-9,585.71	-9,585.71
			8800	D	100100	9241	9600000169	  1	     148,769.00	USD	     133,505.34	EUR	  0.85100		 0.89740	ZX	           0.00	-6,903.12	-6,903.12
			8800	D	100100	9241	9600000172	  1	      29,306.00	USD	      26,143.90	EUR	  0.85100		 0.89210	ZX	           0.00	-1,204.53	-1,204.53
			8800	D	100100	9241	9600000175	  1	      74,610.00	USD	      68,372.39	EUR	  0.85100		 0.91640	ZX	           0.00	-4,879.38	-4,879.38
